Unique Sample Identifier (YYMMDD-XXXXX),Site Code,Day,Sample Site,Trip (YYYY-WW) - WW= Week #,Year/ Month,Month/Day,Sample Date,Season,Sample Date,Sample Time,Weather (1=sunny 2-cloudy 3=raining),Tidal Conditions 1=high 2=medium (ebb) 3=medium (flood) 4=low,"Current Direction (1=still, 2=L to R, 3=R to L, 4=towards, 5=Away)",Wind Speed,Rainfall 24 hrs (inches),Rainfall 3 days (inches),Rainfall Past Week (inches),Water Temp C,DO%,DO mg/L,Salinity ppt,Turb NTU,Chl RFU,Chl ug/L,MPN,Exceedance,
220426-SBR,SBR,Tuesday,Sandbar,2022,22-04,26-Apr,22-04-26,Dry,4/26/2022,9:07 AM,1,,2,ESE 11,,,,26.106,88.6,5.93,33.68,0.99,0.02,0.06,5,,Calm. Mostly clear. Some bubbles and seaweed on surface.
220426-SWP,SWP,Tuesday,Sweeting Park,2022,22-04,26-Apr,22-04-26,Dry,4/26/2022,10:01 AM,1,,3,ESE 10,,,,26.619,63.5,4.71,13.96,2.57,3.16,12.62,158,Fail,Clear. Calm. Some leaves and trash on surface.
220426-TR,TR,Tuesday,Tarpon River,2022,22-04,26-Apr,22-04-26,Dry,4/26/2022,9:20 AM,1,,3,ESE 11,,,,26.275,84.1,5.84,26.83,3.22,1.9,7.6,52,,Leaves on surface. Fish.
220503-ABP,ABP,Tuesday,Annie Beck Park,2022,22-05,3-May,22-05-03,Dry,5/3/2022,12:54 PM,2,,4,ENE 8 gusts 28,,,,28.38,86.7,5.79,27.48,2.23,0.34,1.36,30,,"duck, foliage, dog, sargassum, fish, brown algae,"
220503-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-05,3-May,22-05-03,Dry,5/3/2022,10:50 AM,1,,2,E 13,,,,28.12,62.4,4.35,20.7,1.67,0.56,2.25,30,,"floating vegetation, sargassum, trash on shore, kids playing by water"
220503-HC,HC,Tuesday,Himmarshee Canal,2022,22-05,3-May,22-05-03,Dry,5/3/2022,1:18 PM,2,,2,ESE 10,,,,28.064,63,4.31,24.01,1.09,0.31,1.26,243,Fail,"fish, mussles on floor"
220503-LS,LS,Tuesday,Lake Sylvia,2022,22-05,3-May,22-05-03,Dry,5/3/2022,9:52 AM,1,,3,ESE 14,,,,27.16,94.4,6.2,33.91,0.98,0,-0.01,5,,"floating vegetation, sargassum, dust film on surface"
220503-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-05,3-May,22-05-03,Dry,5/3/2022,2:01 PM,2,,3,ESE 8,,,,28.819,96.2,6.37,27.5,2.12,0.61,2.45,262,Fail,"sargassum, colored oysters?, boat"
220503-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-05,3-May,22-05-03,Dry,5/3/2022,1:38 PM,2,,3,,,,,,,,,,,,10,,"mosquitos on surface, foliage, sargassum"
220503-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-05,3-May,22-05-03,Dry,5/3/2022,12:25 PM,2,,3,E 12,,,,28.091,88.7,5.83,31.15,0.94,0.14,0.58,5,,"foliage, boats, jet skis, bubbles on surface"
220503-SBR,SBR,Tuesday,Sandbar,2022,22-05,3-May,22-05-03,Dry,5/3/2022,10:14 AM,1,,3,E 13,,,,27.17,105.4,6.93,33.66,0.87,0.04,0.17,10,,"a few bubbles, relatively calm water"
220503-SWP,SWP,Tuesday,Sweeting Park,2022,22-05,3-May,22-05-03,Dry,5/3/2022,11:13 AM,1,,2,ESE 17,,,,27.65,63.6,4.76,9.33,2.74,3.39,13.54,355,Fail,"floating vegetation, dust film on surface, some plastic trash"
220503-TR,TR,Tuesday,Tarpon River,2022,22-05,3-May,22-05-03,Dry,5/3/2022,10:29 AM,1,,3,E 13,,,,27.65,91.7,4.95,23.39,2,0.73,2.91,10,,"floating vegetation, dust film on surface, brown color"
220510-ABP,ABP,Tuesday,Annie Beck Park,2022,22-05,10-May,22-05-10,Dry,5/10/2022,11:03 AM,1,,2,NE 10 gusts 21,,,,28.6,94.7,6.2,30.2,0.74,0.14,0.55,41,,"floating vegetation, weak current, very calm"
220510-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-05,10-May,22-05-10,Dry,5/10/2022,1:37 PM,1,,2,NE 13 gusts 23,,,,29.67,91.5,6.25,19.46,1.48,0.69,2.77,602,Fail,"boat activity, low tide, lots of vegetation"
220510-HC,HC,Tuesday,Himmarshee Canal,2022,22-05,10-May,22-05-10,Dry,5/10/2022,10:49 AM,1,,1,NE 13 gusts 20,,,,28.32,54.8,3.66,27.97,1.12,0.59,2.37,315,Fail,"dust film on surface, some small floating vegetation, green/brown color"
220510-LS,LS,Tuesday,Lake Sylvia,2022,22-05,10-May,22-05-10,Dry,5/10/2022,12:51 PM,1,,3,NE 13 gusts 23,,,,28,97.9,6.37,33.17,1.13,0,0.01,10,,"lots of sargassum, clear, bugs on surface"
220510-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-05,10-May,22-05-10,Dry,5/10/2022,9:40 AM,1,,4,NE 12 gusts 18,,,,28.32,85.9,5.65,30.42,1.01,0.24,0.94,30,,"some floating vegetation, slightly choppy, people fishing/ using beach"
220510-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-05,10-May,22-05-10,Dry,5/10/2022,10:31 AM,1,,3,NE 13 gusts 20,,,,28.39,81.8,5.35,30.97,1.51,0.26,1.02,10,,"dust film on surface, some small floating vegetation, green-brown color"
220510-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-05,10-May,22-05-10,Dry,5/10/2022,10:07 AM,1,,3,NE 13 gusts 20,,,,28.33,88.9,5.81,31.36,1.49,0.23,0.91,41,,"floating leaves and sargassum, some foam/bubbles"
220510-SBR,SBR,Tuesday,Sandbar,2022,22-05,10-May,22-05-10,Dry,5/10/2022,1:15 PM,1,,2,NE 13 gusts 23,,,,28.45,108.6,7.04,32.58,0.7,-0.01,-0.05,5,,"small fish, fish with bit cut, vegetation"
220510-SWP,SWP,Tuesday,Sweeting Park,2022,22-05,10-May,22-05-10,Dry,5/10/2022,1:54 PM,1,,2,NE 13 gusts 24,,,,29.27,135.3,9.84,9.25,2.55,3.94,5.76,499,Fail,"very brown, vegetation, iguanas"
220510-TR,TR,Tuesday,Tarpon River,2022,22-05,10-May,22-05-10,Dry,5/10/2022,1:24 PM,1,,1,NE 13 gusts 23,,,,28.79,85.1,5.68,26.23,1.13,0.47,1.89,75,Fail,"needle fish, brown, nest like structures on bottom"
220517-ABP,ABP,Tuesday,Annie Beck Park,2022,22-05,17-May,22-05-17,Wet,5/17/2022,11:45 AM,1,,2,WSW 4,,,,29.36,74.2,4.79,30.75,0.8,0.45,1.7,134,Fail,Leaves in water. Boat and kayak activity.
220517-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-05,17-May,22-05-17,Wet,5/17/2022,1:15 PM,1,,2,E 9,,,,29.21,62.5,4.14,26.43,1.16,0.8,3.07,31,,"Fish. Brown water, vegetation."
220517-HC,HC,Tuesday,Himmarshee Canal,2022,22-05,17-May,22-05-17,Wet,5/17/2022,11:55 AM,1,,2,,,,,28.56,64.4,4.26,28.41,0.53,0.61,2.34,173,Fail,Fish. Light current.
220517-LS,LS,Tuesday,Lake Sylvia,2022,22-05,17-May,22-05-17,Wet,5/17/2022,12:27 PM,1,,2,,,,,28.29,95.3,6.09,35.54,0.76,0.24,0.83,5,,Very clear water. Fish. Small amount of boat activity.
220517-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-05,17-May,22-05-17,Wet,5/17/2022,11:06 AM,1,,4,WSW 4,,,,28.89,87.7,5.64,32.76,1.46,0.43,1.61,5,,Leaves in water. Fish.
220517-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-05,17-May,22-05-17,Wet,5/17/2022,12:09 PM,1,,2,,,,,28.69,79.6,5.14,32.44,0.78,0.47,1.75,10,,Slight surface film. Leaves in water.
220517-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-05,17-May,22-05-17,Wet,5/17/2022,11:26 AM,1,,3,WSW 4,,,,28.81,85.6,5.49,33.51,0.64,0.52,1.95,10,,"Boat activity, leaves and sargassum in water."
220517-SBR,SBR,Tuesday,Sandbar,2022,22-05,17-May,22-05-17,Wet,5/17/2022,12:54 PM,1,,2,Var 5,,,,28.99,124.1,7.85,35.51,1.78,0.22,0.74,5,,Sargassum and leaves in the water.
220517-SWP,SWP,Tuesday,Sweeting Park,2022,22-05,17-May,22-05-17,Wet,5/17/2022,1:31 PM,1,,2,E 9,,,,29.33,72.5,5.06,16.42,2.63,6.57,26.37,134,Fail,Leaves. Litter. Brown colored water.
220517-TR,TR,Tuesday,Tarpon River,2022,22-05,17-May,22-05-17,Wet,5/17/2022,1:01 PM,1,,2,Var 5,,,,29.55,71.8,4.64,29.91,5.29,0.75,2.87,41,,Murky water. Still. Fish. Leaves. Tree work.
220524-ABP,ABP,Tuesday,Annie Beck Park,2022,22-05,24-May,22-05-24,Wet,5/24/2022,12:01 PM,1,,2,ESE 11,,,,30.299,,6.7,24.04,3.51,1.21,4.73,85,Fail,Leaves. Dog swimming. Trash.
220524-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-05,24-May,22-05-24,Wet,5/24/2022,1:20 PM,2,,4,SE 17,,,,31.069,105.2,7.22,14.51,1.89,2.98,11.84,110,Fail,Lots of straws. Small fish. Leaves. Debris in water.
220524-HC,HC,Tuesday,Himmarshee Canal,2022,22-05,24-May,22-05-24,Wet,5/24/2022,12:24 PM,1,,2,SE 17,,,,29.815,90.1,6.1,20.57,5.53,1.43,5.61,73,Fail,"Sargassum. Particles on surface. Trash. Small fish, particles. Fish jumping multiple times in multiple spots. Feathers."
220524-LS,LS,Tuesday,Lake Sylvia,2022,22-05,24-May,22-05-24,Wet,5/24/2022,2:04 PM,1,,3,ESE 16,,,,29.03,99.1,6.31,33.97,0.92,0.46,1.7,30,,Particles. Clear water.
220524-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-05,24-May,22-05-24,Wet,5/24/2022,10:54 AM,1,,2,ESE 18,,,,33.063,84.6,5.6,24.01,1.86,1.13,4.41,10,,Many of same species of fish (different sizes). Leaves; fish jumping.
220524-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-05,24-May,22-05-24,Wet,5/24/2022,11:44 AM,1,,2,ESE 17,,,,29.835,94.7,6.16,27.8,0.92,0.64,2.44,31,,Dead insects on surface. Particles. Flying insects around surface of water. Trash. Leaves. School of small fish. Dog feces floating.
220524-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-05,24-May,22-05-24,Wet,5/24/2022,11:17 AM,1,,2,ESE 19,,,,29.812,92,5.95,28.85,0.6,0.81,3.11,5,,School of small fish. Insects floating on surface. Six boats. Leaves.
220524-SBR,SBR,Tuesday,Sandbar,2022,22-05,24-May,22-05-24,Wet,5/24/2022,2:18 PM,1,,4,ESE 16,,,,29.851,136.7,8.68,32.26,0.89,0.55,2,20,,Lots of floating brown algae. Bubbles.
220524-SWP,SWP,Tuesday,Sweeting Park,2022,22-05,24-May,22-05-24,Wet,5/24/2022,1:01 PM,1,,2,SE 17,,,,30.308,62.9,4.49,9.39,2.44,5.42,21.69,422,Fail,"Boat. One small fish. Trash, leaves."
220524-TR,TR,Tuesday,Tarpon River,2022,22-05,24-May,22-05-24,Wet,5/24/2022,1:41 PM,2,,2,SE 17,,,,31.097,93.7,6.23,20.23,1.77,2.14,8.5,20,,Three iguanas on the wall. Small fish. Particles on surface.
220607-ABP,ABP,Tuesday,Annie Beck Park,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,1:08 PM,2,,2,SE 14,,,,30.22,94.7,6.16,20.57,5.53,1.43,5.61,345,Fail,"high water level, crabs, vegetation"
220607-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,2:00 PM,2,,3,S 11,,,,30.09,68.9,5.17,1.14,3.2,2.27,9.03,41,,"yacht, trash, vegetation, high tide"
220607-HC,HC,Tuesday,Himmarshee Canal,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,12:25 PM,2,,2,SE 14,,,,29.88,92,5.95,27.8,0.92,0.64,2.44,160,Fail,"high water level, vegetation, small fish"
220607-LS,LS,Tuesday,Lake Sylvia,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,2:56 PM,3,,2,S 14,,,,28.57,98.7,7.38,6.53,1.96,5.96,23.84,30,,"murky, high tide"
220607-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,11:31 AM,2,,2,SE 14,,,,30.45,83.2,5.4,24.01,1.86,1.13,4.41,41,,"trash, kayaks, vegetation"
220607-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,12:43 PM,2,,2,SE 14,,,,30.15,14.7,4.49,24.4,3.51,1.21,4.73,109,Fail,"clear, dust film, fish + crabs"
220607-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,11:58 AM,2,,2,SE 14,,,,29.89,84.6,5.62,28.85,0.6,0.81,3.11,75,Fail,"fish, fishing line, bait,"
220607-SBR,SBR,Tuesday,Sandbar,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,3:16 PM,3,,3,WSW 16,,,,29.07,98.3,7.32,5.67,1.93,5.5,22.02,74,Fail,"trash, high tide, vegetation"
220607-SWP,SWP,Tuesday,Sweeting Park,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,1:00 PM,2,,2,SE 14,,,,28.97,57.2,4.4,0.27,1.22,1.97,7.81,175,Fail,"people, ducks, vegetation, trash, small fish, bugs"
220607-TP,TR,Tuesday,Tarpon River,2022,22-06,7-Jun,22-06-07,Wet,6/7/2022,2:25 PM,3,,3,S 14,,,,29.67,75.7,5.7,1.73,4.11,3.8,15.18,63,,"iguana, trash, vegetation"
220614-ABP,ABP,Tuesday,Annie Beck Park,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,2:29 PM,1,,2,ESE 12 var,,,,31.52,159.5,11.03,11.57,4.1,4.78,19.13,130,Fail,"vegetation, low tide, fish, breezy"
220614-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,2:42 PM,1,,2,ESE 12 var,,,,31.6,83.9,6.09,1.23,1.51,2.69,10.71,20,,"tadpoles, low level,fish, grass clippings"
220614-HC,HC,Tuesday,Himmarshee Canal,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,2:19 PM,1,,2,ESE 12 var,,,,30.835,61.4,4.44,5.69,3.17,2.29,9.05,185,Fail,"vegetation, small fish, low tide, leaf blower"
220614-LS,LS,Tuesday,Lake Sylvia,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,1:50 PM,1,,3,ESE 9,,,,30.05,125.4,8.48,20.07,3.61,3.9,15.56,20,,"fish, crabs, bubbles, brown murky, low level"
220614-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,1:28 PM,1,,2,ESE 9,,,,30.651,116.3,8.24,9.81,2.66,3.73,14.88,20,,"low tide, calm, small fish, bird"
220614-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,2:04 PM,1,,3,ESE 12 var,,,,30.281,120.8,8.39,14.59,2.39,4.46,17.82,30,,"small fish, vegetation, brown, low tide"
220614-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,1:47 PM,1,,3,ESE 9,,,,30.644,123.4,8.57,13.57,2.9,3.78,15.06,51,,"bubbles, vegetation, dusty film, calm"
220614-SBR,SBR,Tuesday,Sandbar,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,2:11 PM,1,,3,ESE 12 var,,,,32.91,207.2,13.56,19.33,26.52,7.07,28.31,51,,"low level, green brown algae, boat traffic, vegetation, bubbles"
220614-SWP,SWP,Tuesday,Sweeting Park,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,1:17 PM,1,,3,ESE 9,,,,29.4,44.6,3.4,0.31,2.11,2.13,8.45,241,Fail,"vegetation, grass, iguanas, low level, trash"
220614-TR,TR,Tuesday,Tarpon River,2022,22-06,14-Jun,22-06-14,Wet,6/14/2022,2:21 PM,1,,1,ESE 12,,,,32.82,114.2,7.86,6.12,12.96,5.81,15.62,197,Fail,"low level, brown murky, vegetation, trash"
220621-ABP,ABP,Tuesday,Annie Beck Park,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,2:21 PM,1,,2,ENE 19 gusts 29,,,,31.855,93.7,6.42,12.23,1.54,2.16,8.56,2382,Fail,"vegetation, breezy, bubbles, high tide"
220621-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,1:04 PM,2,,2,NE 17 gusts 24,,,,32.63,76.5,5.49,1.41,1.37,2.51,9.98,10,,"vegetation, city workers mowing"
220621-HC,HC,Tuesday,Himmarshee Canal,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,2:08 PM,1,,3,ENE 19 gusts 29,,,,31.573,85.6,6.14,4.7,3.25,1.5,5.86,120,Fail,"high tide, calm, vegetation"
220621-LS,LS,Tuesday,Lake Sylvia,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,12:05 PM,1,,3,NE 13 gusts 23,,,,30.92,99.1,6.5,23.1,1.17,1.47,5.78,30,,"floating dust and vegetation, trash"
220621-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,1:14 PM,1,,3,NE 17 gusts 24,,,,31.497,108.3,7.28,16.78,1.55,1.67,6.57,141,Fail,"windy, vegetation, rough"
220621-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,1:57 PM,1,,2,NE 17 gusts 24,,,,31.589,113.9,7.62,17.42,1.49,1.98,7.79,137,Fail,"garbage, vegetation, grass clippings, film"
220621-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,1:34 PM,1,,3,NE 17 gusts 24,,,,31.113,99.5,6.56,21.61,1.42,1.17,4.53,20,,"boat traffic, fish, bubbles, vegetation"
220621-SBR,SBR,Tuesday,Sandbar,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,12:31 PM,1,,3,NE 13 gusts 23,,,,31.27,129.1,8.54,20.44,1.55,1.33,5.23,200,Fail,"brown, foam/bubbles, people fishing"
220621-SWP,SWP,Tuesday,Sweeting Park,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,1:23 PM,1,,3,NE 17 gusts 24,,,,29.21,53.4,4.09,0.2,2.37,2.38,9.47,816,Fail,"brown, vegetation"
220621-TR,TR,Tuesday,Tarpon River,2022,22-06,21-Jun,22-06-21,Wet,6/21/2022,12:44 PM,1,,3,NE 13 gusts 23,,,,31.93,80.5,5.74,4.61,2.29,2.39,9.5,259,Fail,"brown, dust, vegetation"
220628-ABP,ABP,Tuesday,Annie Beck Park,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,2:25 PM,1,,2,ESE 11,,,,32.978,133.5,8.8,16.03,1.4,3.94,15.58,31,,"vegetation, small fish, calm, slight wind"
220628-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,3:32 PM,1,,2,ESE 12,,,,32.74,98.3,7.05,1.08,1.63,2.94,11.67,20,,Lots of floating vegetation. Children in the water. Some trash on shore.
220628-HC,HC,Tuesday,Himmarshee Canal,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,2:13 PM,1,,3,ESE 11,,,,31.041,80,5.58,8.52,1.24,3.07,12.07,30,,"vegetation, big fish, small fish, current changing"
220628-LS,LS,Tuesday,Lake Sylvia,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,2:30 PM,1,,2,ESE 11,,,,31.44,115.2,7.42,24.97,1.89,1.19,4.63,5,,"“Dusty” particulate film on surface. Green-brown water color, low water level."
220628-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,1:24 PM,1,,2,E 14 gusts 19,,,,32.224,104.6,7,15.62,1.16,2.72,10.64,31,,"vegetation, small fish, low tide"
220628-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,2:01 PM,1,,3,ESE 11,,,,31.873,99.9,6.56,20.09,0.93,2.02,7.81,10,,"small fish, low tide, boat, vegetation"
220628-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,1:45 PM,1,,3,E 14 gusts 19,,,,31.918,107.9,6.99,22.33,1.87,2.27,8.83,20,,"vegetation, small fish, current, jetskis"
220628-SBR,SBR,Tuesday,Sandbar,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,2:52 PM,1,,2,ESE 11,,,,32.59,175.5,11.28,21.96,2.76,1.29,5.03,20,,“Dusty” particulate film on surface. Some sargassum.
220628-SWP,SWP,Tuesday,Sweeting Park,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,3:51 PM,1,,2,ESE 12,,,,30.2,57.4,4.32,0.23,3.02,3.04,12.1,250,Fail,Brown water. Floating vegetation. Particulate film. Trash bag in the water.
220628-TR,TR,Tuesday,Tarpon River,2022,22-06,28-Jun,22-06-28,Wet,6/28/2022,3:05 PM,1,,3,ESE 12,,,,33.66,59.3,4.03,8.34,16.39,1.26,4.91,63,,Brown color. Thick particulate film. Lots of floating leaves.
220705-ABP,ABP,Tuesday,Annie Beck Park,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,5:19 PM,1,,1,ESE 11,,,,32.03,78.3,5.36,12.13,0.53,0.65,2.43,31,,"low water, fish, brown"
220705-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,12:55 PM,1,,3,ESE 13,,,,32.09,91.4,6.53,3.84,1.93,2.1,8.3,5,,"boat, trash, green algae"
220705-HC,HC,Tuesday,Himmarshee Canal,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,5:11 PM,2,,2,ESE 11,,,,32.04,96.2,6.22,22.43,1.08,0.76,2.89,813,Fail,"brown, iguanas, bugs"
220705-LS,LS,Tuesday,Lake Sylvia,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,1:57 PM,1,,2,E 11,,,,31.74,102.6,6.42,29.17,1.61,0.37,1.31,5,,"small fish, clear,"
220705-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,4:34 PM,1,,4,E 13,,,,31.75,102.6,6.42,29.17,1.61,0.37,1.31,272,Fail,"kayakers, yellow/green"
220705-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,5:03 PM,2,,2,ESE 11,,,,31.89,104.2,6.65,25.38,0.92,0.73,2.76,10,,"weird smell,"
220705-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,4:47 PM,2,,2,E 11,,,,33.05,114.1,7.44,17.81,1.16,3.11,12.37,5,,lots of floating vegetation
220705-SBR,SBR,Tuesday,Sandbar,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,1:36 PM,1,,2,E 11,,,,31.39,123.6,7.69,31.25,1.1,0.33,1.14,5,,"boat activity, fish,"
220705-SWP,SWP,Tuesday,Sweeting Park,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,12:20 PM,1,,2,ESE 13,,,,30.09,84.6,6.38,0.29,3.22,2.57,10.2,134,Fail,"trash floating, vegetation, particles, ducks, trash, iguanas, tadpoles, bugs"
220705-TR,TR,Tuesday,Tarpon River,2022,22-07,5-Jul,22-07-05,Wet,7/5/2022,1:19 PM,1,,2,E 11,,,,31.68,81,5.45,16.13,1.66,1.05,4.05,20,,"vegetation, particles, algae, fish"
220712-ABP,ABP,Tuesday,Annie Beck Park,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,3:15 PM,1,,3,SE 16 gusts 24,,,,33.23,85.4,5.48,20.14,1.62,0.68,2.57,20,,"small fish, low tide, grass/vegetation"
220712-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,10:45 AM,2,,2,S 9,,,,31.69,83.7,5.85,9.22,8.21,4.38,17.37,81,Fail,"dark yellow/green, dogs"
220712-HC,HC,Tuesday,Himmarshee Canal,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,2:52 PM,1,,2,SE 16,,,,33.29,72.9,4.77,16.48,11.15,0.88,3.35,368,Fail,"very brown, sludge, dust film, plastic"
220712-LS,LS,Tuesday,Lake Sylvia,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,11:28 AM,1,,2,SSE 10,,,,31.06,101.6,6.24,26.12,3.14,0.72,1.65,5,,"lawn mowers, grass, boat activity"
220712-MRGE,MRGE,Tuesday,Middle River George English Park,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,2:14 PM,1,,4,SE 16,,,,33.34,80.5,5.22,18.12,0.97,0.57,2.13,10,,"kayakers, fish, brown, plastic"
220712-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,3:04 PM,1,,2,SE 16 gusts 24,,,,32.55,94.8,5.96,26.2,1.24,0.77,2.91,10,,"brown/green, dust film, small fish"
220712-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,2:33 PM,1,,2,SE 16,,,,32.52,93.9,5.9,26.46,1.1,0.72,2.73,20,,"person fishing, boats, brown, fish"
220712-SBR,SBR,Tuesday,Sandbar,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,11:12 AM,1,,4,SSE 10,,,,31.13,99.7,6.34,28.11,3.35,1.14,4.23,31,,"very clear, children sailing, leaves"
220712-SWP,SWP,Tuesday,Sweeting Park,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,10:25 AM,1,,2,S 9,,,,30.29,58.9,4.4,1.27,3.49,6.83,29.26,612,Fail,"cleaner than normal, film on surface"
220712-TR,TR,Tuesday,Tarpon River,2022,22-07,12-Jul,22-07-12,Wet,7/12/2022,11:00 AM,1,,1,S 9,,,,31.55,69,4.59,18.46,4.65,2.04,7.9,97,Fail,"low tide, muddy and still"
220719-ABP,ABP,Tuesday,Annie Beck Park,2022,22-07,19-Jul,22-07-19,Wet,7/19/2022,3:50 PM,1,,3,SE 12,,,,32.81,85.7,5.47,22.4,1.27,1.12,4.35,20,,"sargassum, vegetation, people fishing, small fish, lots of particles on surface"
220719-CH,CH,Tuesday,Coontie Hatchee Park,2022,22-07,19-Jul,22-07-19,Wet,7/19/2022,2:53 PM,1,,4,SE 12,,,,32.77,73.4,4.92,13.65,1.37,1.43,5.63,97,Fail,"brown, boat activity, vegetation"
220719-HC,HC,Tuesday,Himmarshee Canal,2022,22-07,19-Jul,22-07-19,Wet,7/19/2022,4:08 PM,1,,1,SE 14,,,,32.79,82.1,5.43,16.03,0.56,1.05,4.05,324,Fail,"surface covered with layer of brown algae, small fish,"
